,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
5121,code,"Role: Senior developer specializing in healthcare systems.
Task: Debug and optimize the following code that create social media strategy.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,89,B,0.06,5,4,4,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,370,48,81.64,B,Good,1,2,0.041666666666666664
5122,other,Plan develop risk assessment framework for healthcare project. Include timeline and resources.,medium,72,C,0.51,4,4,3,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,94,12,54.91,D,Poor,0,0,0.0
5123,report,findings on develop security protocols,low,41,F,0.79,2,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,38,5,24.17,F,Very Poor,0,0,0.0
5124,video,clip showing build chatbot for customer support,low,61,D,0.76,2,1,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,47,7,27.31,F,Very Poor,1,1,0.14285714285714285
5125,post,Draft announcement about write grant proposal for manufacturing community.,medium,68,D,0.43,4,4,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,74,9,64.39,C,Average,0,0,0.0
5126,creative,"Role: Brand storyteller for customer service companies.
Task: Create a brand origin story about create policy compliance guide.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,95,A,0.14,5,4,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,326,42,87.1,A,Excellent,0,0,0.0
5127,post,"Role: Community manager for sales forums.
Task: Draft an announcement post about build automated testing suite.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,89,B,0.22,4,5,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,311,38,75.99,B,Good,0,0,0.0
5128,data_analysis,Examine create employee onboarding materials patterns in education dataset. Provide findings.,medium,70,C,0.46,3,3,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,93,11,52.98,D,Poor,0,0,0.0
5129,post,Create content about implement payment processing for environment blog. Informative but casual.,medium,84,B,0.35,4,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,95,12,59.37,C,Average,0,0,0.0
5130,video,make create employee onboarding materials video,low,33,F,0.72,1,2,2,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria,47,6,28.15,F,Very Poor,0,0,0.0
5131,code,I need a function that can create budget proposal. It should be in Python and work for technology data.,medium,65,D,0.37,4,4,3,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,103,19,66.45,C,Average,0,0,0.0
5132,post,Draft announcement about develop content calendar for customer service community.,medium,71,C,0.41,2,3,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,81,10,46.91,D,Poor,0,0,0.0
5133,video,"Role: Professional video producer for agriculture content.
Task: Create a storyboard for a 3-minute video about generate financial forecasts.
Instructions: Include shot composition, transitions, and pacing notes.
Constraints: Must be engaging for social media, include captions.
Output Format: Scene-by-scene breakdown with timing and visual/audio elements.",high,88,B,0.14,4,4,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,361,45,83.15,B,Good,0,0,0.0
5134,document,Write documentation for analyze market trends in finance setting. Clear and thorough.,medium,69,D,0.52,4,2,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,85,12,44.16,D,Poor,1,1,0.08333333333333333
5135,video,"Role: Educational video scriptwriter focusing on nonprofit.
Task: Write a script for an instructional video explaining develop mobile responsiveness fix.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,87,B,0.24,4,4,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,361,48,79.23,B,Good,1,1,0.020833333333333332
5136,code,I need a function that can create policy compliance guide. It should be in Python and work for operations data.,medium,84,B,0.42,4,4,3,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,111,20,57.6,C,Average,0,0,0.0
5137,email,"Role: Executive assistant supporting finance leadership.
Task: Write a meeting request email for write grant proposal.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,88,B,0.1,5,5,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,345,47,93.22,A,Excellent,1,1,0.02127659574468085
5138,presentation,Slides needed: create training video content overview for research team meeting.,medium,76,C,0.31,2,3,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,80,11,53.37,D,Poor,0,0,0.0
5139,data_analysis,optimize database queries numbers,low,57,F,0.79,2,2,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,33,4,29.74,F,Very Poor,0,0,0.0
5140,code,"Role: Senior developer specializing in government systems.
Task: Debug and optimize the following code that build automated testing suite.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,87,B,0.05,5,5,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,371,48,95.6,A,Excellent,1,2,0.041666666666666664
5141,post,Draft announcement about develop security protocols for agriculture community.,medium,65,D,0.3,3,4,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,78,9,69.09,C,Average,0,0,0.0
5142,other,"Role: Strategy consultant for government organizations.
Task: Develop a strategic recommendation for write grant proposal.
Context: Company facing competitive pressure, needs transformation.
Constraints: 3-year horizon, feasible implementation, measurable outcomes.
Output Format: Situation analysis + options + recommendation + implementation roadmap.",high,92,A,0.2,4,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,356,40,85.03,A,Excellent,0,0,0.0
5143,report,"Role: Market researcher focusing on product management trends.
Task: Analyze and report on build recommendation engine.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,94,A,0.19,4,4,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,315,40,72.83,B,Good,1,1,0.025
5144,creative,"Role: Brand storyteller for real estate companies.
Task: Create a brand origin story about build API integration.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,89,B,0.17,4,4,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,312,41,77.66,B,Good,0,0,0.0
5145,email,Email needed: create employee onboarding materials proposal for hospitality prospect.,medium,84,B,0.34,2,4,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,85,10,60.26,C,Average,0,0,0.0
5146,creative,story design marketing campaign visuals,low,47,F,0.9,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,39,5,23.05,F,Very Poor,0,0,0.0
5147,creative,Draft narrative about create investor pitch materials set in healthcare world.,medium,84,B,0.4,4,2,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,78,11,50.51,D,Poor,0,0,0.0
5148,image,Create an image of build chatbot for customer support for marketing purposes. Make it look professional.,medium,78,C,0.45,3,3,2,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,104,16,45.95,D,Poor,0,0,0.0
5149,report,Summarize build data pipeline for entertainment annual review. Executive summary style.,medium,69,D,0.42,2,2,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,87,11,53.99,D,Poor,0,0,0.0
5150,report,"Role: Market researcher focusing on entertainment trends.
Task: Analyze and report on create policy compliance guide.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,97,A,0.08,4,5,4,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,313,40,81.15,B,Good,1,1,0.025
5151,email,"Role: Professional copywriter for operations communications.
Task: Write a cold outreach email for create social media strategy.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,92,A,0.09,5,5,5,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,340,44,98.16,A,Excellent,0,0,0.0
5152,post,Draft announcement about build data pipeline for strategy community.,medium,77,C,0.32,3,3,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,68,9,56.86,C,Average,0,0,0.0
5153,image,Generate images about create policy compliance guide. Use appropriate colors for customer service industry.,medium,76,C,0.3,3,2,2,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,107,14,53.07,D,Poor,0,0,0.0
5154,video,"Role: Educational video scriptwriter focusing on sales.
Task: Write a script for an instructional video explaining design mobile app interface.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,85,B,0.07,5,4,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,351,48,85.63,A,Excellent,1,1,0.020833333333333332
5155,presentation,Build presentation for create crisis management protocol. Audience: human resources executives.,medium,67,D,0.52,2,3,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,95,11,54.71,D,Poor,0,0,0.0
5156,report,create policy compliance guide summary,low,39,F,0.62,1,1,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,38,5,29.4,F,Very Poor,0,0,0.0
5157,image,"Role: UI/UX designer for consulting products.
Task: Design a mockup for analyze supply chain efficiency.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,94,A,0.08,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,306,41,89.82,A,Excellent,1,1,0.024390243902439025
5158,image,Create an image of write grant proposal for agriculture purposes. Make it look professional.,medium,68,D,0.51,2,2,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,92,14,44.62,D,Poor,0,0,0.0
5159,presentation,"Role: Sales enablement specialist in research sector.
Task: Build a pitch deck for write press release.
Context: Presenting to C-level executives at Fortune 500 company.
Constraints: 8 slides max, focus on ROI and business impact.
Output Format: Slide-by-slide content with key messages and visual suggestions.",high,86,B,0.17,4,4,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,314,45,77.84,B,Good,1,1,0.022222222222222223
5160,image,"Role: UI/UX designer for science products.
Task: Design a mockup for write customer case study.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,86,B,0.24,5,5,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,297,41,79.17,B,Good,0,0,0.0
5161,creative,Draft narrative about develop mobile responsiveness fix set in media world.,medium,74,C,0.31,3,4,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,75,11,68.74,C,Average,0,0,0.0
5162,document,Draft document explaining analyze market trends to manufacturing audience.,medium,68,D,0.51,4,2,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,74,9,58.14,C,Average,1,2,0.2222222222222222
5163,video,video about write grant proposal,low,59,F,0.9,2,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,32,5,28.09,F,Very Poor,0,0,0.0
5164,presentation,Slides needed: develop mobile responsiveness fix overview for healthcare team meeting.,medium,82,B,0.51,4,3,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,86,11,54.92,D,Poor,0,0,0.0
5165,code,"Role: Technical lead for science applications.
Task: Design a system architecture for analyze website traffic patterns.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,87,B,0.19,5,5,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,339,45,89.48,A,Excellent,1,2,0.044444444444444446
5166,data_analysis,Data task: analyze customer feedback patterns analysis for human resources report.,medium,69,D,0.51,2,4,4,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,82,11,55.15,C,Average,1,1,0.09090909090909091
5167,code,"Role: Technical lead for healthcare applications.
Task: Design a system architecture for develop mobile responsiveness fix.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,87,B,0.1,4,5,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,343,45,89.18,A,Excellent,1,1,0.022222222222222223
5168,data_analysis,write press release numbers,low,53,F,0.64,1,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,27,4,22.85,F,Very Poor,0,0,0.0
5169,email,"Role: Professional copywriter for media communications.
Task: Write a cold outreach email for analyze market trends.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,88,B,0.11,4,4,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,328,43,84.32,B,Good,1,1,0.023255813953488372
5170,creative,Creative content needed: create crisis management protocol theme for science publication.,medium,68,D,0.32,4,4,4,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,89,11,64.56,C,Average,0,0,0.0
5171,presentation,Create slides about build automated testing suite for sports stakeholders. Include key points.,medium,70,C,0.52,3,4,3,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,94,13,57.99,C,Average,0,0,0.0
5172,document,generate financial forecasts paper needed,low,59,F,0.67,1,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,41,5,28.71,F,Very Poor,0,0,0.0
5173,post,automate data entry processes announcement,low,58,F,0.61,1,1,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,42,5,23.13,F,Very Poor,0,0,0.0
5174,creative,Write creative piece about create user authentication system in real estate context. Engaging style.,medium,68,D,0.46,4,2,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,100,14,45.53,D,Poor,0,0,0.0
5175,data_analysis,Examine build recommendation engine patterns in science dataset. Provide findings.,medium,81,B,0.41,4,3,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,82,10,65.09,C,Average,0,0,0.0
5176,video,Make a video about analyze employee satisfaction data for government training. Keep it under 5 minutes.,medium,80,B,0.43,2,2,3,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,103,16,50.01,D,Poor,1,1,0.0625
5177,presentation,Create slides about automate data entry processes for hospitality stakeholders. Include key points.,medium,65,D,0.55,3,4,3,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,99,13,53.76,D,Poor,0,0,0.0
5178,data_analysis,"Role: Data scientist specializing in marketing analytics.
Task: Analyze a dataset to understand develop quality assurance checklist.
Input Data: CSV with columns [list will be provided]
Instructions: Clean data, perform EDA, identify patterns, test hypotheses.
Constraints: Use appropriate statistical methods, document assumptions.
Output Format: Analysis plan + code + visualizations + interpretation.",high,93,A,0.21,5,5,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,408,52,84.56,B,Good,1,3,0.057692307692307696
5179,creative,Write creative piece about create crisis management protocol in transportation context. Engaging style.,medium,70,C,0.51,4,3,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,103,13,58.28,C,Average,0,0,0.0
5180,report,findings on develop quality assurance checklist,low,55,F,0.61,2,1,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,47,6,29.5,F,Very Poor,1,1,0.16666666666666666
5181,data_analysis,"Role: Data scientist specializing in hospitality analytics.
Task: Analyze a dataset to understand create FAQ document.
Input Data: CSV with columns [list will be provided]
Instructions: Clean data, perform EDA, identify patterns, test hypotheses.
Constraints: Use appropriate statistical methods, document assumptions.
Output Format: Analysis plan + code + visualizations + interpretation.",high,88,B,0.07,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,394,51,90.23,A,Excellent,1,3,0.058823529411764705
5182,other,build data pipeline stuff,low,32,F,0.73,2,2,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,25,4,27.84,F,Very Poor,0,0,0.0
5183,post,Post needed: write customer case study update for hospitality followers.,medium,83,B,0.41,3,4,2,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,72,10,50.61,D,Poor,0,0,0.0
5184,presentation,slides on create stakeholder communication plan,low,38,F,0.64,1,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,47,6,22.85,F,Very Poor,0,0,0.0
5185,code,fix my code about implement payment processing,low,29,F,0.88,2,1,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,46,7,25.78,F,Very Poor,1,1,0.14285714285714285
5186,other,do develop mobile responsiveness fix,low,53,F,0.78,2,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,36,5,27.03,F,Very Poor,0,0,0.0
5187,post,Draft announcement about develop security protocols for media community.,medium,72,C,0.44,3,3,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,72,9,53.38,D,Poor,0,0,0.0
5188,image,Create an image of build automated testing suite for hospitality purposes. Make it look professional.,medium,78,C,0.51,2,4,3,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,101,15,48.27,D,Poor,0,0,0.0
5189,report,report design webinar presentation,low,30,F,0.73,2,1,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite,34,4,27.72,F,Very Poor,0,0,0.0
5190,image,Create an image of create policy compliance guide for science purposes. Make it look professional.,medium,66,D,0.4,2,4,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,98,15,47.3,D,Poor,0,0,0.0
5191,video,Create storyboard: develop risk assessment framework in hospitality context. Professional quality.,medium,83,B,0.36,3,4,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,98,11,59.61,C,Average,0,0,0.0
5192,data_analysis,Data task: develop security protocols analysis for energy report.,medium,84,B,0.46,4,3,3,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,65,9,52.78,D,Poor,0,0,0.0
5193,video,Plan a video showing develop quality assurance checklist. This is for our design department.,medium,82,B,0.35,2,3,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,92,14,55.91,C,Average,1,2,0.14285714285714285
5194,data_analysis,Analyze data on build chatbot for customer support for retail insights. Charts and summary.,medium,84,B,0.5,2,4,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,91,14,55.45,C,Average,1,1,0.07142857142857142
5195,post,write develop content calendar update,low,29,F,0.84,1,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,37,5,21.01,F,Very Poor,0,0,0.0
5196,creative,"Role: Creative writer specializing in agriculture narratives.
Task: Write a short story opening (500 words) about create policy compliance guide.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,95,A,0.07,5,5,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined,370,46,85.82,A,Excellent,0,0,0.0
5197,other,"Role: Project manager for energy initiatives.
Task: Create a project plan for design webinar presentation.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,92,A,0.05,4,5,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,299,39,95.66,A,Excellent,1,1,0.02564102564102564
5198,other,write customer case study plan,low,57,F,0.76,2,1,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,30,5,27.43,F,Very Poor,0,0,0.0
5199,report,"Role: Compliance auditor for healthcare operations.
Task: Prepare an audit report on write grant proposal.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,91,A,0.09,5,4,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,324,42,89.36,A,Excellent,0,0,0.0
5200,data_analysis,write customer case study numbers,low,55,F,0.8,2,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,33,5,29.58,F,Very Poor,0,0,0.0
5201,code,create training video content script needed asap,low,60,D,0.61,1,2,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,48,7,29.68,F,Very Poor,0,0,0.0
5202,post,"Role: Social media manager for finance brands.
Task: Create a LinkedIn post about write executive briefing.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,90,A,0.16,4,4,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,333,45,73.87,B,Good,0,0,0.0
5203,data_analysis,"Role: Research analyst in education field.
Task: Perform comparative analysis of create competitor analysis.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,95,A,0.23,4,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency,338,41,75.63,B,Good,0,0,0.0
5204,document,Draft document explaining develop content calendar to hospitality audience.,medium,82,B,0.53,3,2,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,75,9,47.29,D,Poor,1,1,0.1111111111111111
5205,presentation,Create slides about write customer case study for government stakeholders. Include key points.,medium,67,D,0.54,3,4,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks,94,13,47.32,D,Poor,0,0,0.0
5206,image,draw design webinar presentation,low,37,F,0.81,2,1,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,32,4,26.74,F,Very Poor,0,0,0.0
5207,email,"Role: Customer success manager in legal industry.
Task: Draft a response to a customer complaint about build chatbot for customer support.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,88,B,0.22,4,5,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected,351,43,80.0,B,Good,0,0,0.0
5208,email,email create investor pitch materials,low,40,F,0.77,1,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,37,5,21.66,F,Very Poor,0,0,0.0
5209,other,Strategy for automate data entry processes in marketing context. Recommendations needed.,medium,72,C,0.36,2,3,2,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,88,11,51.77,D,Poor,0,0,0.0
5210,code,help with create stakeholder communication plan programming,low,33,F,0.91,2,2,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results,59,7,27.82,F,Very Poor,0,0,0.0
5211,video,Create storyboard: create training video content in customer service context. Professional quality.,medium,71,C,0.54,2,2,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,99,12,47.38,D,Poor,0,0,0.0
5212,report,Research and report on write customer case study affecting strategy operations.,medium,74,C,0.51,4,3,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,79,11,54.77,D,Poor,0,0,0.0
5213,post,"Role: Social media manager for government brands.
Task: Create a LinkedIn post about develop security protocols.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,93,A,0.2,4,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation,338,45,76.74,B,Good,0,0,0.0
5214,post,Post needed: build automated testing suite update for engineering followers.,medium,78,C,0.31,4,3,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,76,10,64.72,C,Average,0,0,0.0
5215,code,"Role: You are an experienced hospitality software engineer.
Task: Write a Python function to analyze supply chain efficiency.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,92,A,0.12,5,5,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,378,52,88.3,A,Excellent,1,3,0.057692307692307696
5216,presentation,Need a deck on create social media strategy for customer service conference. 10 slides max.,medium,70,C,0.48,2,2,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer,91,15,41.73,D,Poor,0,0,0.0
5217,post,"Role: Community manager for agriculture forums.
Task: Draft an announcement post about build data pipeline.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,93,A,0.22,4,4,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained,307,37,79.83,B,Good,0,0,0.0
5218,other,create investor pitch materials plan,low,41,F,0.63,2,2,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding,36,5,32.45,F,Very Poor,0,0,0.0
5219,image,design marketing campaign visuals photo,low,53,F,0.93,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk,39,5,27.51,F,Very Poor,0,0,0.0
5220,email,Draft message regarding write technical documentation for research team. Clear and concise.,medium,67,D,0.44,2,2,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution,91,12,42.56,D,Poor,0,0,0.0
5221,report,Analyze create user survey questions and write report for healthcare leadership. Include findings.,medium,84,B,0.46,4,2,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions,98,13,59.74,C,Average,1,1,0.07692307692307693
5222,image,Design something for develop mobile responsiveness fix. Should be modern and appealing for nonprofit audience.,medium,67,D,0.37,3,3,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use,110,15,55.31,C,Average,0,0,0.0
